SMILES,Comment,RDKit_SMILES (REINVENT),Score,QED,MW,Tanimoto,Alerts,QED (raw),MW (raw),Tanimoto (raw),Alerts (raw),matchting_patterns (Alerts)
CN(CC(=O)NCC(F)(F)F)CC(C)(C)O,,CN(CC(=O)NCC(F)(F)F)CC(C)(C)O,0.36097370805354534,0.7319504096421264,0.97997487,0.06557377049180328,1.0,0.7319504096421264,242.24099999999996,0.06557377049180328,1.0,[]
CS(=O)(=O)CC(N)Cc1nnnn1-c1ccccc1,,CS(=O)(=O)CC(N)Cc1nnnn1-c1ccccc1,0.4860230236421049,0.7977194697273351,0.99944264,0.144,1.0,0.7977194697273351,281.341,0.144,1.0,[]
c1cnc2c(c1)CN(Cc1cscn1)CC2,,c1cnc2c(c1)CN(Cc1cscn1)CC2,0.4149771120605279,0.7922547835894196,0.9471023,0.09523809523809523,1.0,0.7922547835894196,231.32399999999998,0.09523809523809523,1.0,[]
COCC(CC(=O)O)NS(=O)(=O)c1cc(F)c(F)cc1C,,COCC(CC(=O)O)NS(=O)(=O)c1cc(F)c(F)cc1C,0.5282732928725349,0.7820113545129446,0.9999883,0.1885245901639344,1.0,0.7820113545129446,323.31700000000006,0.1885245901639344,1.0,[]
CC(=CNC(C)C(O)c1ccc2c(c1)OCO2)c1ncc(C)[nH]1,,CC(=CNC(C)C(O)c1ccc2c(c1)OCO2)c1ncc(C)[nH]1,0.479654775558388,0.7899183268156166,0.99997574,0.13970588235294118,1.0,0.7899183268156166,315.373,0.13970588235294118,1.0,[]
COCCNC(=O)Cn1c(C(C)C)cnc1CCl,,COCCNC(=O)Cn1c(C(C)C)cnc1CCl,0.40756834998916885,0.6051593540347707,0.9988807,0.112,1.0,0.6051593540347707,273.764,0.112,1.0,[]
COc1cc(C)ccc1OCCCn1cc(CO)nn1,,COc1cc(C)ccc1OCCCn1cc(CO)nn1,0.4453057470053078,0.7776927672637992,0.9991934,0.11363636363636363,1.0,0.7776927672637992,277.32399999999996,0.11363636363636363,1.0,[]
O=C1OCCCN1CCCc1cnc(-c2ccc(F)cc2)nc1,,O=C1OCCCN1CCCc1cnc(-c2ccc(F)cc2)nc1,0.5527059172907054,0.8507282896828264,0.9999757,0.1984732824427481,1.0,0.8507282896828264,315.348,0.1984732824427481,1.0,[]
COCCNC(=O)CNCC1Cc2ccccc2O1,,COCCNC(=O)CNCC1Cc2ccccc2O1,0.4313432665165979,0.6973977089643009,0.9973341,0.11538461538461539,1.0,0.6973977089643009,264.325,0.11538461538461539,1.0,[]
CN1CCC(c2ccc(N3CCC(N4CCOCC4)C3)cc2)CC1,,CN1CCC(c2ccc(N3CCC(N4CCOCC4)C3)cc2)CC1,0.3961073259997069,0.8475007817091449,0.9999934,0.07333333333333333,1.0,0.8475007817091449,329.48800000000006,0.07333333333333333,1.0,[]
CCCC(C[N+](=O)[O-])=C1CCCCCC1,,CCCC(C[N+](=O)[O-])=C1CCCCCC1,0.24480987889126152,0.3076968498512636,0.7390869,0.06451612903225806,1.0,0.3076968498512636,211.30499999999992,0.06451612903225806,1.0,[]
O=[N+]([O-])c1cccc(NCc2ccc(F)cc2)c1,,O=[N+]([O-])c1cccc(NCc2ccc(F)cc2)c1,0.5207372944056459,0.6644628841723005,0.98605996,0.21551724137931033,1.0,0.6644628841723005,246.24099999999999,0.21551724137931033,1.0,[]
C=CC(=O)NCc1nccs1,,C=CC(=O)NCc1nccs1,0.14621361157797216,0.6825051887371493,0.05083707,0.09009009009009009,1.0,0.6825051887371493,168.221,0.09009009009009009,1.0,[]
